team,owner,wins,losses,ties,points_for,points_against,rank
Team Hairy,,11,3,0,1612.04,1413.76,1
HallOfBass,,10,4,0,1628.6,1469.2,2
Home Team,,8,6,0,1739.6,1548.3,3
Go Go Gators,,8,6,0,1654.3,1512.98,4
For McCaffrey,,8,6,0,1651.1,1574.86,5
The Union Strikes Back,,8,6,0,1643.82,1664.4,6
Ragnar the Spoiled,,8,6,0,1641.66,1485.04,7
The Separatists Rise Again ,,7,7,0,1594.04,1565.44,8
Koo Koo's Nest,,6,8,0,1528.32,1561.26,9
Team Kolb,,6,8,0,1492.42,1593.12,10
J-man’s team,,6,8,0,1353.74,1504.44,11
Anzalone Hair Jealousy,,6,8,0,1293.28,1443.16,12
Thirst Down and 10,,4,10,0,1429.46,1603.82,13
Toddler Energy ,,2,12,0,1271.02,1593.62,14
